company_ticker,event_date
NBL,2/08/2013
NBL,4/26/2013
NBL,7/26/2013
NBL,10/25/2013
NBL,2/07/2014
NBL,4/25/2014
NBL,7/25/2014
NBL,10/29/2014
NBL,2/20/2015
NBL,5/06/2015
NBL,8/04/2015
NBL,11/03/2015
NBL,2/18/2016
NBL,5/05/2016
NBL,8/04/2016
NBL,11/03/2016
NBL,2/15/2017
NBL,5/03/2017
NBL,8/04/2017
NBL,11/01/2017
NBL,2/20/2019
NBL,11/08/2019
NCLH,7/30/2013
NCLH,10/30/2013
NCLH,2/19/2014
NCLH,4/30/2014
NCLH,7/30/2014
NCLH,10/31/2014
NCLH,2/19/2015
NCLH,5/08/2015
NCLH,8/05/2015
NCLH,11/04/2015
NCLH,2/24/2016
NCLH,5/11/2016
NCLH,8/10/2016
NCLH,11/10/2016
NCLH,2/23/2017
NCLH,5/11/2017
NCLH,8/09/2017
NCLH,11/10/2017
NCLH,2/22/2019
NCLH,5/10/2019
NCLH,8/09/2019
NCLH,11/08/2019
NCLH,2/21/2020
NCLH,5/15/2020
NCLH,8/07/2020
NCLH,11/11/2020
NEM,2/26/2010
NEM,4/28/2010
NEM,7/29/2010
NEM,11/03/2010
NEM,2/25/2011
NEM,5/01/2013
NEM,7/31/2014
NEM,7/24/2015
NEM,10/30/2015
NEM,2/19/2016
NEM,4/22/2016
NEM,7/22/2016
NEM,10/28/2016
NEM,2/23/2017
NEM,4/26/2017
NEM,7/26/2017
NEM,10/27/2017
NEM,2/22/2019
NEM,4/26/2019
NEM,7/26/2019
NEM,11/06/2019
NEM,2/21/2020
NEM,5/06/2020
NEM,7/31/2020
NEM,10/30/2020
NKE,3/18/2010
NKE,6/24/2010
NKE,9/24/2010
NKE,12/22/2010
NKE,3/18/2011
NKE,9/23/2011
NKE,12/21/2011
NKE,3/23/2012
NKE,6/29/2012
NKE,9/28/2012
NKE,12/21/2012
NKE,3/22/2013
NKE,6/28/2013
NKE,9/27/2013
NKE,12/20/2013
NKE,3/21/2014
NKE,6/27/2014
NKE,9/26/2014
NKE,12/19/2014
NKE,3/20/2015
NKE,6/26/2015
NKE,9/25/2015
NKE,3/23/2016
NKE,6/29/2016
NKE,9/28/2016
NKE,12/21/2016
NKE,3/22/2017
NKE,6/30/2017
NKE,9/27/2017
NKE,12/22/2017
NKE,3/22/2019
NKE,6/28/2019
NKE,9/25/2019
NKE,12/20/2019
NKE,3/25/2020
NKE,6/26/2020
NKE,9/23/2020
NLSN,7/22/2011
NLSN,10/26/2011
NLSN,2/07/2012
NLSN,4/20/2012
